MapSizeX,3072
MapSizeZ,4096
WaterLevel,0
1600,0,245.38
1608,0,245.29
1616,0,245.25
1624,0,245.21
1632,0,245.21
1640,0,245.21
1648,0,245.21
1656,0,245.21
1664,0,245.21
1672,0,245.21
1680,0,245.21
1688,0,245.21
1696,0,245.21
1704,0,245.21
1712,0,245.21
1720,0,245.21
1728,0,245.17
1736,0,245.17
1744,0,245.17
1752,0,245.17
1760,0,245.17
1768,0,245.13
1776,0,245.13
1784,0,245.13
1792,0,245.13
1800,0,245.13
1808,0,245.09
1816,0,245.09
1824,0,245.09
1832,0,245.09
1840,0,245.09
1848,0,245.09
1856,0,245.09
1864,0,245.13
1872,0,245.13
1880,0,245.13
1888,0,245.13
1896,0,245.09
1904,0,245.09
1912,0,245.09
1920,0,245.09
1928,0,245.09
1936,0,245.09
1944,0,245.09
1952,0,245.09
1960,0,245.09
1968,0,245.09
1976,0,245.09
1984,0,245.09
1992,0,245.09
2000,0,245.09
2008,0,245.09
2016,0,245.09
2024,0,245.09
2032,0,245.09
2040,0,245.09
2048,0,245.09
2056,0,245.09
2064,0,245.09
2072,0,245.09
2080,0,245.09
2088,0,245.09
2096,0,245.09
2104,0,245.09
2112,0,245.09
2120,0,245.09
2128,0,245.09
2136,0,245.09
2144,0,245.09
2152,0,245.09
2160,0,245.09
2168,0,245.09
2176,0,245.09
2184,0,245.09
2192,0,245.09
2200,0,245.09
2208,0,245.09
2216,0,245.09
2224,0,245.09
2232,0,245.09
2240,0,245.09
2248,0,245.09
2256,0,245.09
2264,0,245.09
2272,0,245.09
2280,0,245.09
2288,0,245.09
2296,0,245.09
2304,0,245.09
2312,0,245.09
2320,0,245.09
2328,0,245.09
2336,0,245.09
2344,0,245.09
2352,0,245.09
2360,0,245.09
2368,0,245.09
2376,0,245.09
2384,0,245.09
2392,0,245.09
2400,0,245.09
2408,0,245.09
2416,0,245.09
2424,0,245.09
2432,0,245.09
2440,0,245.09
2448,0,245.09
2456,0,245.09
2464,0,245.09
2472,0,245.09
2480,0,245.09
2488,0,245.09
2496,0,245.09
2504,0,245.09
2512,0,245.09
2520,0,245.09
2528,0,245.09
2536,0,245.09
2544,0,245.09
2552,0,245.09
2560,0,245.09
2568,0,245.09
2576,0,245.09
2584,0,245.13
2592,0,245.09
2600,0,245.09
2608,0,245.09
2616,0,245.09
2624,0,245.09
2632,0,245.09
2640,0,245.09
2648,0,245.09
2656,0,245.09
2664,0,245.09
2672,0,245.09
2680,0,245.09
2688,0,245.09
2696,0,245.09
2704,0,245.09
2712,0,245.09
2720,0,245.13
2728,0,245.13
2736,0,245.09
2744,0,245.09
2752,0,245.09
2760,0,245.09
2768,0,245.09
2776,0,245.09
2784,0,245.09
2792,0,245.09
2800,0,245.09
2808,0,245.09
2816,0,245.09
2824,0,245.17
2832,0,245.17
2840,0,245.17
2848,0,245.09
2856,0,245.09
2864,0,245.09
2872,0,245.09
2880,0,245.09
2888,0,245.09
2896,0,245.09
2904,0,245.09
2912,0,245.09
2920,0,245.09
2928,0,245.09
2936,0,245.09
2944,0,245.09
2952,0,245.09
2960,0,245.09
2968,0,245.09
2976,0,245.09
2984,0,245.09
2992,0,245.09
3000,0,245.09
3008,0,245.09
3016,0,245.09
3024,0,245.09
3032,0,245.09
3040,0,245.09
3048,0,245.09
3056,0,245.09
3064,0,245.09
0,8,245.09
8,8,245.09
16,8,245.09
24,8,245.09
32,8,245.09
40,8,245.09
48,8,245.09
56,8,245.09
64,8,245.09
72,8,245.09
80,8,245.09
88,8,245.09
96,8,245.13
104,8,245.09
112,8,245.09
120,8,245.09
128,8,245.09
136,8,245.09
144,8,245.09
152,8,245.09
160,8,245.09
168,8,245.09
176,8,245.09
184,8,245.09
192,8,245.09
200,8,245.09
208,8,245.09
216,8,245.09
224,8,245.09
232,8,245.09
240,8,245.09
248,8,245.09
256,8,245.09
264,8,245.09
272,8,245.09
280,8,245.09
288,8,245.09
296,8,245.09
304,8,245.09
312,8,245.09
320,8,245.09
328,8,245.09
336,8,245.09
344,8,245.09
352,8,245.09
360,8,245.09
368,8,245.09
376,8,245.09
384,8,245.09
392,8,245.09
400,8,245.09
408,8,245.09
416,8,245.09
424,8,245.09
432,8,245.09
440,8,245.09
448,8,245.09
456,8,245.09
464,8,245.09
472,8,245.09
480,8,245.09
488,8,245.09
496,8,245.09
504,8,245.09
512,8,245.09
520,8,245.09
528,8,245.09
536,8,245.09
544,8,245.09
552,8,245.09
560,8,245.09
568,8,245.09
576,8,245.09
584,8,245.09
592,8,245.09
600,8,245.09
608,8,245.09
616,8,245.09
624,8,245.09
632,8,245.09
640,8,245.09
648,8,245.09
656,8,245.09
664,8,245.13
672,8,245.17
680,8,245.13
688,8,245.09
696,8,245.09
704,8,245.09
712,8,245.09
720,8,245.09
728,8,245.09
736,8,245.09
744,8,245.09
752,8,245.09
760,8,245.09
768,8,245.09
776,8,245.09
784,8,245.09
792,8,245.09
800,8,245.09
808,8,245.09
816,8,245.09
824,8,245.09
832,8,245.09
840,8,245.09
848,8,245.09
856,8,245.09
864,8,245.09
872,8,245.09
880,8,245.09
888,8,245.09
896,8,245.09
904,8,245.09
912,8,245.09
920,8,245.09
928,8,245.09
936,8,245.09
944,8,245.09
952,8,245.09
960,8,245.09
968,8,245.09
976,8,245.09
984,8,245.09
992,8,245.09
1000,8,245.09
1008,8,245.09
1016,8,245.09
1024,8,245.09
1032,8,245.09
1040,8,245.09
1048,8,245.09
1056,8,245.09
1064,8,245.09
1072,8,245.09
1080,8,245.09
1088,8,245.13
1096,8,245.13
1104,8,245.13
1112,8,245.13
1120,8,245.13
1128,8,245.17
1136,8,245.17
1144,8,245.17
1152,8,245.17
1160,8,245.21
1168,8,245.21
1176,8,245.29
1184,8,245.34
1192,8,245.42
1200,8,245.50
1208,8,245.62
1216,8,245.71
1224,8,245.79
1232,8,245.87
1240,8,245.95
1248,8,245.99
1256,8,246.03
1264,8,246.07
1272,8,246.11
1280,8,246.16
1288,8,246.16
1296,8,246.20
1304,8,246.24
1312,8,246.24
1320,8,246.28
1328,8,246.28
1336,8,246.32
1344,8,246.32
1352,8,246.32
1360,8,246.32
1368,8,246.32
1376,8,246.32
1384,8,246.32
1392,8,246.32
1400,8,246.32
1408,8,246.32
1416,8,246.32
1424,8,246.28
1432,8,246.28
1440,8,246.24
1448,8,246.24
1456,8,246.20
1464,8,246.20
1472,8,246.16
1480,8,246.11
1488,8,246.11
1496,8,246.07
1504,8,246.07
1512,8,246.03
1520,8,246.03
1528,8,245.99
1536,8,245.99
1544,8,245.95
1552,8,245.91
1560,8,245.83
1568,8,245.79
1576,8,245.67
1584,8,245.62
1592,8,245.50
1600,8,245.38
1608,8,245.34
1616,8,245.25
1624,8,245.21
1632,8,245.21
1640,8,245.21
1648,8,245.21
1656,8,245.21
1664,8,245.21
1672,8,245.21
1680,8,245.21
1688,8,245.21
1696,8,245.21
1704,8,245.21
1712,8,245.21
1720,8,245.21
1728,8,245.21
1736,8,245.17
1744,8,245.17
1752,8,245.17
1760,8,245.17
1768,8,245.13
1776,8,245.13
1784,8,245.13
1792,8,245.13
1800,8,245.13
1808,8,245.09
1816,8,245.09
1824,8,245.09
1832,8,245.09
1840,8,245.09
1848,8,245.09
1856,8,245.09
1864,8,245.09
1872,8,245.09
1880,8,245.09
1888,8,245.09
1896,8,245.09
1904,8,245.09
1912,8,245.09
1920,8,245.09
1928,8,245.09
1936,8,245.09
1944,8,245.09
1952,8,245.09
1960,8,245.09
1968,8,245.09
1976,8,245.09
1984,8,245.09
1992,8,245.09
2000,8,245.09
2008,8,245.09
2016,8,245.09
2024,8,245.09
2032,8,245.09
2040,8,245.09
2048,8,245.09
2056,8,245.09
2064,8,245.09
2072,8,245.09
2080,8,245.09
2088,8,245.09
2096,8,245.09
2104,8,245.09
2112,8,245.09
2120,8,245.09
2128,8,245.09
2136,8,245.09
2144,8,245.09
2152,8,245.09
2160,8,245.09
2168,8,245.09
2176,8,245.09
2184,8,245.09
2192,8,245.09
2200,8,245.09
2208,8,245.09
2216,8,245.09
2224,8,245.09
2232,8,245.09
2240,8,245.09
2248,8,245.09
2256,8,245.09
2264,8,245.09
2272,8,245.09
2280,8,245.09
2288,8,245.09
2296,8,245.09
2304,8,245.09
2312,8,245.09
2320,8,245.09
2328,8,245.09
2336,8,245.09
2344,8,245.09
2352,8,245.09
2360,8,245.09
2368,8,245.09
2376,8,245.09
2384,8,245.09
2392,8,245.09
2400,8,245.09
2408,8,245.09
2416,8,245.09
2424,8,245.09
2432,8,245.09
2440,8,245.09
2448,8,245.09
2456,8,245.09
2464,8,245.09
2472,8,245.09
2480,8,245.09
2488,8,245.09
2496,8,245.09
2504,8,245.09
2512,8,245.09
2520,8,245.09
2528,8,245.09
2536,8,245.09
2544,8,245.09
2552,8,245.09
2560,8,245.09
2568,8,245.09
2576,8,245.09
2584,8,245.09
2592,8,245.09
2600,8,245.09
2608,8,245.09
2616,8,245.09
2624,8,245.09
2632,8,245.09
2640,8,245.09
2648,8,245.09
2656,8,245.09
2664,8,245.09
2672,8,245.09
2680,8,245.09
2688,8,245.09
2696,8,245.09
2704,8,245.09
2712,8,245.09
2720,8,245.09
2728,8,245.09
2736,8,245.09
2744,8,245.09
2752,8,245.09
2760,8,245.09
2768,8,245.09
2776,8,245.09
2784,8,245.09
2792,8,245.09
2800,8,245.09
2808,8,245.09
2816,8,245.09
2824,8,245.13
2832,8,245.17
2840,8,245.13
2848,8,245.09
2856,8,245.09
2864,8,245.09
2872,8,245.09
2880,8,245.09
2888,8,245.09
2896,8,245.09
2904,8,245.09
2912,8,245.09
2920,8,245.09
2928,8,245.09
2936,8,245.09
2944,8,245.09
2952,8,245.09
2960,8,245.09
2968,8,245.09
2976,8,245.09
2984,8,245.09
2992,8,245.09
3000,8,245.09
3008,8,245.09
3016,8,245.09
3024,8,245.09
3032,8,245.09
3040,8,245.09
3048,8,245.09
3056,8,245.09
3064,8,245.09
0,16,245.09
8,16,245.09
16,16,245.09
24,16,245.09
32,16,245.09
40,16,245.09
48,16,245.09
56,16,245.09
64,16,245.09
72,16,245.09
80,16,245.09
88,16,245.09
96,16,245.13
104,16,245.13
112,16,245.09
120,16,245.09
128,16,245.09
136,16,245.09
144,16,245.09
152,16,245.09
160,16,245.09
168,16,245.09
176,16,245.09
184,16,245.09
192,16,245.09
200,16,245.09
208,16,245.09
216,16,245.09
224,16,245.09
232,16,245.09
240,16,245.09
248,16,245.09
256,16,245.09
264,16,245.09
272,16,245.09
280,16,245.09
288,16,245.09
296,16,245.09
304,16,245.09
312,16,245.09
320,16,245.09
328,16,245.09
336,16,245.09
344,16,245.09
352,16,245.09
360,16,245.09
368,16,245.09
376,16,245.09
384,16,245.09
392,16,245.09
400,16,245.09
408,16,245.09
416,16,245.09
424,16,245.09
432,16,245.09
440,16,245.09
448,16,245.09
456,16,245.09
464,16,245.09
472,16,245.09
480,16,245.09
488,16,245.09
496,16,245.09
504,16,245.09
512,16,245.09
520,16,245.09
528,16,245.09
536,16,245.09
544,16,245.09
552,16,245.09
560,16,245.09
568,16,245.09
576,16,245.09
584,16,245.09
592,16,245.09
600,16,245.09
608,16,245.09
616,16,245.09
624,16,245.09
632,16,245.09
640,16,245.09
648,16,245.09
656,16,245.09
664,16,245.13
672,16,245.17
680,16,245.17
688,16,245.13
696,16,245.09
704,16,245.09
712,16,245.09
720,16,245.09
728,16,245.09
736,16,245.09
744,16,245.09
752,16,245.09
760,16,245.09
768,16,245.09
776,16,245.09
784,16,245.09
792,16,245.09
800,16,245.09
808,16,245.09
816,16,245.09
824,16,245.09
832,16,245.09
840,16,245.09
848,16,245.09
856,16,245.09
864,16,245.09
872,16,245.09
880,16,245.09
888,16,245.09
896,16,245.09
904,16,245.09
912,16,245.09
920,16,245.09
928,16,245.09
936,16,245.13
944,16,245.09
952,16,245.09
960,16,245.09
968,16,245.09
976,16,245.09
984,16,245.09
992,16,245.09
1000,16,245.09
1008,16,245.09
1016,16,245.09
1024,16,245.09
1032,16,245.09
1040,16,245.09
1048,16,245.09
1056,16,245.09
1064,16,245.09
1072,16,245.09
1080,16,245.13
1088,16,245.13
1096,16,245.13
1104,16,245.13
1112,16,245.13
1120,16,245.17
1128,16,245.17
1136,16,245.17
1144,16,245.17
1152,16,245.21
1160,16,245.21
1168,16,245.25
1176,16,245.29
1184,16,245.38
1192,16,245.46
1200,16,245.54
1208,16,245.67
1216,16,245.75
1224,16,245.87
1232,16,245.95
1240,16,246.03
1248,16,246.07
1256,16,246.11
1264,16,246.16
1272,16,246.20
1280,16,246.24
1288,16,246.28
1296,16,246.32
1304,16,246.36
1312,16,246.36
1320,16,246.40
1328,16,246.44
1336,16,246.44
1344,16,246.48
1352,16,246.48
1360,16,246.48
1368,16,246.48
1376,16,246.48
1384,16,246.48
1392,16,246.48
1400,16,246.48
1408,16,246.44
1416,16,246.44
1424,16,246.40
1432,16,246.40
1440,16,246.36
1448,16,246.36
1456,16,246.32
1464,16,246.28
1472,16,246.28
1480,16,246.24
1488,16,246.20
1496,16,246.16
1504,16,246.16
1512,16,246.11
1520,16,246.07
1528,16,246.07
1536,16,246.07
1544,16,246.03
1552,16,245.99
1560,16,245.91
1568,16,245.83
1576,16,245.75
1584,16,245.67
1592,16,245.54
1600,16,245.42
1608,16,245.38
1616,16,245.29
1624,16,245.25
1632,16,245.25
1640,16,245.25
1648,16,245.25
1656,16,245.25
1664,16,245.25
1672,16,245.25
1680,16,245.25
1688,16,245.21
1696,16,245.21
1704,16,245.21
1712,16,245.21
1720,16,245.21
1728,16,245.21
1736,16,245.21
1744,16,245.17
1752,16,245.17
1760,16,245.17
1768,16,245.17
1776,16,245.13
1784,16,245.13
1792,16,245.13
1800,16,245.13
1808,16,245.13
1816,16,245.09
1824,16,245.09
1832,16,245.09
1840,16,245.09
1848,16,245.09
1856,16,245.09
1864,16,245.09
1872,16,245.09
1880,16,245.09
1888,16,245.09
1896,16,245.09
1904,16,245.09
1912,16,245.09
1920,16,245.09
1928,16,245.09
1936,16,245.09
1944,16,245.09
1952,16,245.09
1960,16,245.09
1968,16,245.09
1976,16,245.09
1984,16,245.09
1992,16,245.09
2000,16,245.09
2008,16,245.09
2016,16,245.09
2024,16,245.09
2032,16,245.09
2040,16,245.09
2048,16,245.09
2056,16,245.09
2064,16,245.09
2072,16,245.09
2080,16,245.09
2088,16,245.09
2096,16,245.09
2104,16,245.09
2112,16,245.09
2120,16,245.09
2128,16,245.09
2136,16,245.09
2144,16,245.09
2152,16,245.09
2160,16,245.09
2168,16,245.09
2176,16,245.09
2184,16,245.09
2192,16,245.09
2200,16,245.09
2208,16,245.09
2216,16,245.09
2224,16,245.09
2232,16,245.09
2240,16,245.09
2248,16,245.09
2256,16,245.09
2264,16,245.09
2272,16,245.09
2280,16,245.09
2288,16,245.09
2296,16,245.09
2304,16,245.09
2312,16,245.09
2320,16,245.09
2328,16,245.09
2336,16,245.09
2344,16,245.09
2352,16,245.09
2360,16,245.09
2368,16,245.09
2376,16,245.09
2384,16,245.09
2392,16,245.09
2400,16,245.09
2408,16,245.09
2416,16,245.09
2424,16,245.09
2432,16,245.09
2440,16,245.09
2448,16,245.09
2456,16,245.09
2464,16,245.09
2472,16,245.09
2480,16,245.09
2488,16,245.09
2496,16,245.09
2504,16,245.09
2512,16,245.09
2520,16,245.09
2528,16,245.09
2536,16,245.09
2544,16,245.09
2552,16,245.09
2560,16,245.09
2568,16,245.09
2576,16,245.09
2584,16,245.09
2592,16,245.09
2600,16,245.09
2608,16,245.09
2616,16,245.09
2624,16,245.09
2632,16,245.09
2640,16,245.09
2648,16,245.09
2656,16,245.09
2664,16,245.09
2672,16,245.09
2680,16,245.09
2688,16,245.09
2696,16,245.09
2704,16,245.09
2712,16,245.09
2720,16,245.09
2728,16,245.09
2736,16,245.09
2744,16,245.09
2752,16,245.09
2760,16,245.09
2768,16,245.09
2776,16,245.09
2784,16,245.09
2792,16,245.09
2800,16,245.09
2808,16,245.09
2816,16,245.09
2824,16,245.09
2832,16,245.09
2840,16,245.09
2848,16,245.09
2856,16,245.09
2864,16,245.09
2872,16,245.09
2880,16,245.09
2888,16,245.09
2896,16,245.09
2904,16,245.09
2912,16,245.09
2920,16,245.09
2928,16,245.09
2936,16,245.09
2944,16,245.09
2952,16,245.09
2960,16,245.09
2968,16,245.09
2976,16,245.09
2984,16,245.09
2992,16,245.09
3000,16,245.09
3008,16,245.09
3016,16,245.09
3024,16,245.09
3032,16,245.09
3040,16,245.09
3048,16,245.09
3056,16,245.09
3064,16,245.09
0,24,245.09
8,24,245.09
16,24,245.09
24,24,245.09
32,24,245.09
40,24,245.09
48,24,245.09
56,24,245.09
64,24,245.09
72,24,245.09
80,24,245.09
88,24,245.09
96,24,245.09
104,24,245.09
112,24,245.09
120,24,245.09
128,24,245.09
136,24,245.09
144,24,245.09
152,24,245.09
160,24,245.09
168,24,245.09
176,24,245.09
184,24,245.13
192,24,245.09
200,24,245.09
208,24,245.09
216,24,245.09
224,24,245.09
232,24,245.09
240,24,245.09
248,24,245.09
256,24,245.09
264,24,245.09
272,24,245.09
280,24,245.09
288,24,245.09
296,24,245.09
304,24,245.09
312,24,245.09
320,24,245.09
328,24,245.09
336,24,245.09
344,24,245.09
352,24,245.09
360,24,245.09
368,24,245.09
376,24,245.09
384,24,245.09
392,24,245.09
400,24,245.09
408,24,245.09
416,24,245.09
424,24,245.09
432,24,245.09
440,24,245.09
448,24,245.09
456,24,245.09
464,24,245.09
472,24,245.09
480,24,245.09
488,24,245.09
496,24,245.09
504,24,245.09
512,24,245.09
520,24,245.09
528,24,245.09
536,24,245.09
544,24,245.09
552,24,245.09
560,24,245.09
568,24,245.09
576,24,245.09
584,24,245.09
592,24,245.09
600,24,245.09
608,24,245.09
616,24,245.09
624,24,245.09
632,24,245.09
640,24,245.09
648,24,245.09
656,24,245.09
664,24,245.09
672,24,245.13
680,24,245.13
688,24,245.09
696,24,245.09
704,24,245.09
712,24,245.09
720,24,245.09
728,24,245.13
736,24,245.13
744,24,245.09
752,24,245.09
760,24,245.09
768,24,245.09
776,24,245.09
784,24,245.09
792,24,245.09
800,24,245.09
808,24,245.09
816,24,245.09
824,24,245.09
832,24,245.09
840,24,245.09
848,24,245.09
856,24,245.09
864,24,245.09
872,24,245.09
880,24,245.09
888,24,245.09
896,24,245.09
904,24,245.09
912,24,245.09
920,24,245.09
928,24,245.09
936,24,245.09
944,24,245.09
952,24,245.09
960,24,245.09
968,24,245.09
976,24,245.09
984,24,245.09
992,24,245.09
1000,24,245.09
1008,24,245.09
1016,24,245.09
1024,24,245.09
1032,24,245.09
1040,24,245.09
1048,24,245.09
1056,24,245.09
1064,24,245.09
1072,24,245.13
1080,24,245.13
1088,24,245.13
1096,24,245.13
1104,24,245.13
1112,24,245.17
1120,24,245.17
1128,24,245.17
1136,24,245.21
1144,24,245.21
1152,24,245.21
1160,24,245.25
1168,24,245.29
1176,24,245.38
1184,24,245.42
1192,24,245.50
1200,24,245.58
1208,24,245.71
1216,24,245.83
1224,24,245.91
1232,24,246.03
1240,24,246.11
1248,24,246.16
1256,24,246.20
1264,24,246.24
1272,24,246.32
1280,24,246.36
1288,24,246.40
1296,24,246.44
1304,24,246.48
1312,24,246.52
1320,24,246.52
1328,24,246.56
1336,24,246.60
1344,24,246.60
1352,24,246.60
1360,24,246.60
1368,24,246.65
1376,24,246.65
1384,24,246.60
1392,24,246.60
1400,24,246.60
1408,24,246.60
1416,24,246.56
1424,24,246.56
1432,24,246.52
1440,24,246.52
1448,24,246.48
1456,24,246.44
1464,24,246.40
1472,24,246.36
1480,24,246.32
1488,24,246.32
1496,24,246.28
1504,24,246.24
1512,24,246.20
1520,24,246.20
1528,24,246.16
1536,24,246.11
1544,24,246.11
1552,24,246.03
1560,24,245.99
1568,24,245.87
1576,24,245.79
1584,24,245.67
1592,24,245.58
1600,24,245.46
1608,24,245.38
1616,24,245.34
1624,24,245.25
1632,24,245.25
1640,24,245.25
1648,24,245.25
1656,24,245.25
1664,24,245.25
1672,24,245.25
1680,24,245.25
1688,24,245.25
1696,24,245.25
1704,24,245.25
1712,24,245.21
1720,24,245.21
1728,24,245.21
1736,24,245.21
1744,24,245.17
1752,24,245.17
1760,24,245.17
1768,24,245.17
1776,24,245.13
1784,24,245.13
1792,24,245.13
1800,24,245.17
1808,24,245.13
1816,24,245.09
1824,24,245.09
1832,24,245.09
1840,24,245.09
1848,24,245.09
1856,24,245.09
1864,24,245.09
1872,24,245.09
1880,24,245.09
1888,24,245.09
1896,24,245.09
1904,24,245.09
1912,24,245.09
1920,24,245.09
1928,24,245.13
1936,24,245.17
1944,24,245.09
1952,24,245.09
1960,24,245.09
1968,24,245.09
1976,24,245.09
1984,24,245.09
1992,24,245.09
2000,24,245.09
2008,24,245.09
2016,24,245.09
2024,24,245.09
2032,24,245.09
2040,24,245.09
2048,24,245.09
2056,24,245.09
2064,24,245.09
2072,24,245.09
2080,24,245.09
2088,24,245.09
2096,24,245.09
2104,24,245.09
2112,24,245.09
2120,24,245.09
2128,24,245.09
2136,24,245.09
2144,24,245.09
2152,24,245.09
2160,24,245.09
2168,24,245.09
2176,24,245.09
2184,24,245.09
2192,24,245.09
2200,24,245.09
2208,24,245.09
2216,24,245.09
2224,24,245.09
2232,24,245.09
2240,24,245.09
2248,24,245.09
2256,24,245.09
2264,24,245.09
2272,24,245.09
2280,24,245.09
2288,24,245.09
2296,24,245.09
2304,24,245.09
2312,24,245.09
2320,24,245.09
2328,24,245.09
2336,24,245.13
2344,24,245.13
2352,24,245.09
2360,24,245.09
2368,24,245.09
2376,24,245.09
2384,24,245.09
2392,24,245.09
2400,24,245.09
2408,24,245.09
2416,24,245.09
2424,24,245.09
2432,24,245.09
2440,24,245.09
2448,24,245.09
2456,24,245.09
2464,24,245.09
2472,24,245.09
2480,24,245.09
2488,24,245.09
2496,24,245.09
2504,24,245.09
2512,24,245.09
2520,24,245.09
2528,24,245.09
2536,24,245.09
2544,24,245.09
2552,24,245.09
2560,24,245.09
2568,24,245.09
2576,24,245.09
2584,24,245.09
2592,24,245.09
2600,24,245.09
2608,24,245.09
2616,24,245.09
2624,24,245.09
2632,24,245.09
2640,24,245.09
2648,24,245.09
2656,24,245.09
2664,24,245.09
2672,24,245.09
2680,24,245.09
2688,24,245.09
2696,24,245.09
2704,24,245.09
2712,24,245.09
2720,24,245.09
2728,24,245.09
2736,24,245.09
2744,24,245.09
2752,24,245.09
2760,24,245.09
2768,24,245.09
2776,24,245.09
2784,24,245.09
2792,24,245.09
2800,24,245.09
2808,24,245.09
2816,24,245.09
2824,24,245.09
2832,24,245.09
2840,24,245.09
2848,24,245.09
2856,24,245.09
2864,24,245.09
2872,24,245.09
2880,24,245.09
2888,24,245.09
2896,24,245.09
2904,24,245.09
2912,24,245.09
2920,24,245.09
2928,24,245.09
2936,24,245.09
2944,24,245.09
2952,24,245.09
2960,24,245.09
2968,24,245.09
2976,24,245.09
2984,24,245.09
2992,24,245.09
3000,24,245.09
3008,24,245.09
3016,24,245.09
3024,24,245.09
3032,24,245.09
3040,24,245.09
3048,24,245.09
3056,24,245.09
3064,24,245.09
0,32,245.09
8,32,245.09
16,32,245.09
24,32,245.09
32,32,245.09
40,32,245.09
48,32,245.09
56,32,245.09
64,32,245.09
72,32,245.09
80,32,245.09
88,32,245.09
96,32,245.09
104,32,245.09
112,32,245.09
120,32,245.09
128,32,245.09
136,32,245.09
144,32,245.09
152,32,245.09
160,32,245.09
168,32,245.09
176,32,245.09
184,32,245.09
192,32,245.09
200,32,245.09
208,32,245.09
216,32,245.09
224,32,245.09
232,32,245.09
240,32,245.09
248,32,245.09
256,32,245.09
264,32,245.09
272,32,245.09
280,32,245.09
288,32,245.09
296,32,245.09
304,32,245.09
312,32,245.09
320,32,245.09
328,32,245.09
336,32,245.09
344,32,245.09
352,32,245.09
360,32,245.09
368,32,245.09
376,32,245.09
384,32,245.09
392,32,245.09
400,32,245.09
408,32,245.09
416,32,245.09
424,32,245.09
432,32,245.09
440,32,245.09
448,32,245.09
456,32,245.09
464,32,245.09
472,32,245.09
480,32,245.09
488,32,245.09
496,32,245.09
504,32,245.09
512,32,245.09
520,32,245.09
528,32,245.09
536,32,245.09
544,32,245.09
552,32,245.09
560,32,245.09
568,32,245.09
576,32,245.09
584,32,245.09
592,32,245.09
600,32,245.09
